,City,Zipcode,Price,Beds,Bath,SQFT,School_rating,WalkScore,Bike_Score,TransitScore,Garage_availability,County
591,Napa,94558,685000,3,2,1724.0,4.3,41,28,20,No,Napa County
592,Yountville,94599,2649500,4,2,2762.0,4.3,67,57,41,Yes,Napa County
593,Napa,94558,50000,3,2,2089.0174545454547,5.6,0,4,41,No,Napa County
594,Napa,94559,745000,3,2,1287.0,4.0,86,89,28,No,Napa County
595,Napa,94558,859000,4,2,1611.0,5.0,39,34,27,Yes,Napa County
596,Napa,94558,1125000,3,2,1928.0,4.0,39,14,23,Yes,Napa County
597,Napa,94559,849000,4,2,1728.0,3.7,70,64,28,Yes,Napa County
598,Napa,94558,1279999,3,3,1526.0,4.7,35,43,22,Yes,Napa County
599,Napa,94558,829000,3,2,1354.0,4.0,46,38,24,Yes,Napa County
600,Napa,94559,4200000,2,2,1720.0,4.3,10,38,0,No,Napa County
601,American Canyon,94503,649000,3,2,1032.0,6.3,26,55,41,Yes,Napa County
602,St. Helena,94574,1725000,3,2,972.0,5.6,83,92,41,No,Napa County
603,Calistoga,94515,98700,2,2,1152.0,5.6,42,58,41,Yes,Napa County
604,Napa,94558,7800000,5,6,5165.0,5.0,21,19,41,Yes,Napa County
605,Napa,94558,598000,2,1,1302.0,4.0,47,33,23,No,Napa County
606,Napa,94558,1349000,4,2,2101.0,4.7,28,48,22,Yes,Napa County
607,Napa,94558,699999,3,2,1622.0,3.3,62,73,30,Yes,Napa County
608,Napa,94559,1075000,4,2,1720.0,3.7,52,61,28,Yes,Napa County
609,Yountville,94599,379000,3,2,1620.0,4.3,56,59,41,No,Napa County
610,St. Helena,94574,3950000,4,4,3012.0,5.6,54,85,41,Yes,Napa County
611,Vallejo,94589,375250,3,2,1099.0,5.6,67,53,28,Yes,Solano County
612,Napa,94558,719000,3,2,1420.0,4.7,58,52,32,Yes,Napa County
613,Calistoga,94515,1125000,3,2,2089.0174545454547,5.6,14,30,41,No,Napa County
614,Napa,94559,899000,2,2,754.0,4.0,96,81,34,Yes,Napa County
615,American Canyon,94503,999000,6,3,3862.0,5.7,37,31,41,Yes,Napa County
616,Calistoga,94515,1999500,5,2,2214.0,5.6,16,26,41,Yes,Napa County
617,Napa,94558,569000,3,2,1200.0,4.3,41,13,15,Yes,Napa County
618,Napa,94558,355000,2,2,1440.0,4.7,11,53,22,Yes,Napa County
619,St. Helena,94574,5500000,2,4,2758.0,5.6,13,26,41,Yes,Napa County
620,Napa,94558,82000,3,2,2089.0174545454547,5.0,0,2,41,No,Napa County
621,Napa,94558,849000,2,2,1310.0,4.0,32,30,24,Yes,Napa County
622,American Canyon,94503,954000,6,3,3164.0,5.7,21,32,41,Yes,Napa County
623,Oakville,94558,615000,3,2,2089.0174545454547,5.6,0,2,41,No,Napa County
624,St. Helena,94574,265000,2,2,1536.0,5.6,13,58,41,No,Napa County
625,Napa,94558,22000000,6,6,7154.0,4.3,0,49,41,Yes,Napa County
626,St. Helena,94574,1395000,2,2,1511.0,5.6,6,2,41,Yes,Napa County
627,St. Helena,94574,15000000,6,7,8500.0,5.6,0,49,41,Yes,Napa County
628,Napa,94558,799000,3,2,1392.0,4.3,46,68,26,Yes,Napa County
629,Napa,94558,549000,3,1,1404.0,5.6,8,24,41,Yes,Napa County
630,Napa,94558,2495000,4,2,2886.0,5.0,5,22,41,Yes,Napa County
631,St. Helena,94574,339000,2,2,1344.0,5.6,28,69,41,No,Napa County
632,Napa,94559,850000,3,2,1100.0,3.3,37,52,22,Yes,Napa County
633,Yountville,94599,2995000,3,2,1980.0,4.3,53,53,41,Yes,Napa County
634,Napa,94558,1679000,4,3,2878.0,4.3,21,56,22,Yes,Napa County
635,St. Helena,94574,19950000,5,6,8573.0,5.6,1,2,41,Yes,Napa County
636,Napa,94558,2700000,3,3,3976.0,5.0,1,49,41,Yes,Napa County
637,Napa,94558,225000,3,2,2089.0174545454547,5.0,0,2,41,No,Napa County
638,Yountville,94599,291000,2,2,1423.0,4.3,48,63,41,No,Napa County
639,Napa,94558,3200000,3,4,4000.0,5.0,3,7,41,Yes,Napa County
640,San Francisco,94132,1399000,3,2,2133.0,7.0,84,49,70,Yes,San Francisco County
641,San Francisco,94102,400000,3,1,399.0,5.6,100,93,100,Yes,San Francisco County
642,San Francisco,94123,2249000,3,2,2252.0,6.0,92,91,64,Yes,San Francisco County
643,San Francisco,94103,16000000,3,2,57448.0,2.0,99,97,100,No,San Francisco County
644,San Francisco,94105,1295000,2,2,1530.0,4.0,99,82,100,No,San Francisco County
645,SAN FRANCISCO,94117,3250000,6,6,5218.0,5.6,97,73,75,Yes,San Francisco County
646,SAN FRANCISCO,94124,575000,2,2,805.0,5.6,89,67,72,Yes,San Francisco County
647,SAN FRANCISCO,94115,1799000,3,2,2508.0,7.0,97,78,71,No,San Francisco County
648,San Francisco,94124,949000,4,2,1546.0,3.8,46,40,60,Yes,San Francisco County
649,SAN FRANCISCO,94109,898000,2,2,1154.0,6.5,99,79,97,Yes,San Francisco County
650,San Francisco,94109,599000,1,1,616.0,5.6,99,58,100,No,San Francisco County
651,San Francisco,94115,869000,1,1,829.0,6.3,99,88,77,Yes,San Francisco County
652,San Francisco,94114,885000,1,1,2089.0174545454547,5.6,91,64,79,Yes,San Francisco County
653,San Francisco,94105,3295000,2,2,2635.0,4.0,95,73,100,No,San Francisco County
654,San Francisco,94103,1195000,2,2,2089.0174545454547,5.6,99,92,100,No,San Francisco County
655,San Francisco,94121,2995000,4,5,2089.0174545454547,7.7,88,70,70,Yes,San Francisco County
656,San Francisco,94116,1989000,3,3,1838.0,8.0,88,58,73,Yes,San Francisco County
657,San Francisco,94110,899000,2,1,1250.0,4.0,99,99,91,Yes,San Francisco County
658,San Francisco,94121,1095000,3,1,1204.0,7.7,88,68,68,Yes,San Francisco County
659,San Francisco,94134,1200000,2,1,1248.0,4.2,81,73,69,Yes,San Francisco County
660,San Francisco,94114,2750000,3,2,6167.0,5.6,99,93,90,No,San Francisco County
661,San Francisco,94103,860000,1,1,748.0,2.0,99,97,100,Yes,San Francisco County
662,San Francisco,94122,1795000,4,2,2919.0,5.6,96,77,68,Yes,San Francisco County
663,San Francisco,94102,525000,1,1,724.0,6.5,99,99,100,No,San Francisco County
664,SAN FRANCISCO,94117,949000,2,1,952.0,5.6,99,92,96,No,San Francisco County
665,San Francisco,94112,998000,3,2,1370.0,4.3,71,39,85,Yes,San Francisco County
666,San Francisco,94122,1990000,4,2,2572.0,5.6,82,73,60,Yes,San Francisco County
667,San Francisco,94131,1325000,2,1,1101.0,5.6,93,62,71,Yes,San Francisco County
668,San Francisco,94116,2195000,3,2,2030.0,8.5,61,77,55,Yes,San Francisco County
669,SAN FRANCISCO,94110,1500000,4,3,1949.0,5.6,94,85,80,Yes,San Francisco County
670,San Francisco,94109,1499000,4,2,2488.0,6.5,99,81,99,Yes,San Francisco County
671,San Francisco,94122,1275000,2,1,1265.0,5.6,88,70,58,Yes,San Francisco County
672,San Francisco,94114,1725000,2,2,1622.0,5.6,99,78,88,Yes,San Francisco County
673,San Francisco,94107,799000,1,1,761.0,5.6,91,85,71,No,San Francisco County
674,San Francisco,94110,1195000,3,2,2089.0174545454547,5.6,96,70,76,No,San Francisco County
675,San Francisco,94117,2399000,4,3,2369.0,5.6,95,67,65,No,San Francisco County
676,San Francisco,94127,2195000,4,2,2173.0,7.5,82,65,74,No,San Francisco County
677,San Francisco,94123,1049000,1,1,901.0,6.5,89,91,63,Yes,San Francisco County
678,San Francisco,94111,575000,3,1,623.0,5.6,91,64,79,Yes,San Francisco County
679,San Francisco,94114,2195000,3,1,1550.0,5.6,94,64,76,No,San Francisco County
680,San Francisco,94110,1325000,3,2,1809.0,5.6,96,92,86,Yes,San Francisco County
681,San Francisco,94115,995000,3,1,1235.0,8.0,96,81,75,No,San Francisco County
682,San Francisco,94127,2395000,5,3,2465.0,7.5,88,71,72,No,San Francisco County
683,San Francisco,94112,1595000,3,2,1880.0,5.6,86,73,84,Yes,San Francisco County
684,San Francisco,94105,1318000,1,1,972.0,4.0,95,57,100,Yes,San Francisco County
685,San Francisco,94122,1095000,2,2,1700.0,5.6,91,79,64,Yes,San Francisco County
686,San Francisco,94107,3775000,3,2,9573.0,5.6,97,90,100,No,San Francisco County
687,San Francisco,94110,1079000,2,1,1100.0,3.2,99,95,90,No,San Francisco County
688,San Francisco,94123,2949000,2,1,2089.0174545454547,6.5,87,65,71,No,San Francisco County
689,San Francisco,94118,1455187,3,2,2130.0,5.6,91,97,71,Yes,San Francisco County
690,San Francisco,94109,4500000,3,2,18750.0,5.6,99,91,100,Yes,San Francisco County
691,San Francisco,94109,1465000,2,2,1519.0,5.6,97,72,81,Yes,San Francisco County
692,San Francisco,94127,1595000,3,2,1670.0,6.0,79,57,71,Yes,San Francisco County
693,San Francisco,94102,789900,1,1,573.0,4.0,99,99,100,Yes,San Francisco County
694,San Francisco,94134,799000,5,3,2370.0,5.6,49,29,62,Yes,San Francisco County
695,San Francisco,94109,978000,1,1,755.0,5.6,100,79,85,No,San Francisco County
696,San Francisco,94118,11750000,5,5,6315.0,8.3,94,75,69,Yes,San Francisco County
697,San Francisco,94107,1099000,2,2,1078.0,5.6,91,85,71,No,San Francisco County
698,San Francisco,94102,925000,2,2,967.0,5.6,100,93,100,Yes,San Francisco County
699,San Francisco,94123,2185000,4,2,2665.0,6.5,98,96,65,Yes,San Francisco County
700,San Francisco,94116,1100000,2,1,1125.0,5.6,86,63,60,No,San Francisco County
701,San Francisco,94114,3895000,5,4,3872.0,5.6,96,65,64,Yes,San Francisco County
702,San Francisco,94105,361677,2,2,1089.0,4.0,99,86,100,No,San Francisco County
703,San Francisco,94127,1195000,3,1,1325.0,5.6,49,50,65,Yes,San Francisco County
704,San Francisco,94110,715000,2,1,730.0,5.6,91,85,81,No,San Francisco County
705,San Francisco,94123,7750000,3,3,2089.0174545454547,6.0,99,57,78,No,San Francisco County
706,San Francisco,94105,899000,2,1,823.0,4.0,96,80,100,No,San Francisco County
707,San Francisco,94122,1588000,2,1,750.0,5.6,98,80,69,No,San Francisco County
708,San Francisco,94103,699000,2,1,715.0,5.6,99,99,100,No,San Francisco County
709,San Francisco,94105,1041250,1,1,880.0,4.0,96,80,100,Yes,San Francisco County
710,San Francisco,94112,2149000,6,2,2710.0,7.5,85,60,75,Yes,San Francisco County
711,San Francisco,94109,1399000,2,1,1450.0,5.6,99,60,100,Yes,San Francisco County
